SMILES,Count
O=[N+]([O-])c1ccc(Cl)cc1OC(F)(F)Cl,2
O=[N+]([O-])c1ccc(Cl)cc1OC(F)(F)F,2
FC(F)(F)c1ccccc1/N=C\c1ccccc1Br,2
O=C(CBr)c1ccc(F)c(Cl)c1,2
O=C(CBr)c1ccc(Br)c(F)c1,2
O=C(CCl)c1ccc(Br)c(F)c1,2
N#CC(=O)c1ccccc1Br,2
O=C(O)c1cccc(CBr)c1Cl,2
O=C(O)c1cccc(CF)c1Cl,2
O=C(O)c1cc(Br)cc(C(F)(F)F)c1O,2
O=C(O)c1cc(I)cc(C(F)(F)F)c1O,2
Fc1cc(OC(Cl)(Cl)Cl)cc(F)c1Br,2
Fc1cc(OC(F)(F)Cl)cc(F)c1Br,2
Fc1cc(OC(F)(F)F)cc(F)c1Br,2
Fc1cc(Br)cc(OC(Cl)(Cl)Cl)c1,2
Fc1cc(Br)cc(OC(F)(F)F)c1,2
Fc1ccc([C@@H]2CCN2)c(C(F)(F)F)c1,2
Fc1cccc(C(F)(F)F)c1[C@@H]1CCN1,2
Fc1ccc(C(F)(F)F)c([C@@H]2CCN2)c1,2
N[C@@H](CF)c1cc(F)ccc1[N+](=O)[O-],2
Fc1cc(OC(F)(F)Cl)cc(F)c1Cl,2
Fc1cc(OC(F)(F)F)cc(F)c1Cl,2
O=[N+]([O-])c1cc(F)c(Cl)cc1OC(Cl)(Cl)Cl,2
O=S(=O)(Cc1c(F)cccc1F)C(F)(F)F,2
Fc1cc(OC(Cl)(Cl)Cl)cc(F)c1F,2
Fc1cc(OC(F)(F)Cl)cc(F)c1F,2
Fc1cc(OC(F)(F)F)cc(F)c1F,2
Fc1cc(F)cc(OC(Cl)(Cl)Cl)c1,2
Fc1cc(F)cc(OC(F)(F)Cl)c1,2
Fc1cc(F)cc(OC(F)(F)F)c1,2
N[C@@H](CF)c1ccc(F)cc1[N+](=O)[O-],2
O=[N+]([O-])c1cc(F)ccc1OC(F)(F)Cl,2
Fc1cccc(OC(Cl)(Cl)Cl)c1,2
O=[N+]([O-])c1cccc(F)c1OC(Cl)(Cl)Cl,2
O=[N+]([O-])c1ccc(F)cc1OC(Cl)(Cl)Cl,2
Fc1cccc(OC(F)(F)Cl)c1,2
O=[N+]([O-])c1cccc(F)c1OC(F)(F)Cl,2
O=[N+]([O-])c1ccc(F)cc1OC(F)(F)Cl,2
